premise,conclusion,kind,cross_attribute_part,support
"free_so2>=high(30), residual_sugar=sweet","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"residual_sugar=sweet, total_so2>=medium(60)","chlorides=low_salt, citric_acid_present, density=light, free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, quality>=acceptable(5), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"chlorides=low_salt, citric_acid_present, density=light, free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, quality>=acceptable(5), volatile_acidity>=low(0.3)",1
"residual_sugar=sweet, total_so2>=high(100)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"density=light, residual_sugar=sweet","chlorides=low_salt, citric_acid_present, free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",data-induced,"chlorides=low_salt, citric_acid_present, free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",1
"density=heavy, residual_sugar=sweet","chlorides=low_salt, citric_acid_present, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6), total_so2>=low(20)",data-induced,"chlorides=low_salt, citric_acid_present, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6), total_so2>=low(20)",1
"pH<=acidic(3.1), residual_sugar=sweet","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"pH>=basic(3.4), residual_sugar=sweet","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"residual_sugar=sweet, sulphates>=medium(0.6)","chlorides=low_salt, citric_acid_present, density=heavy, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), total_so2>=low(20)",data-induced,"chlorides=low_salt, citric_acid_present, density=heavy, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), total_so2>=low(20)",1
"residual_sugar=sweet, sulphates>=high(0.8)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"alcohol>=11, residual_sugar=sweet","alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"alcohol>=13, residual_sugar=sweet","alcohol>=11, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"quality>=good(7), residual_sugar=sweet","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), residual_sugar=dry, residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"quality>=excellent(8), residual_sugar=sweet","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"chlorides=high_salt, chlorides=low_salt","alcohol>=11, alcohol>=13, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"chlorides=low_salt, free_so2>=medium(15)","free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20)",data-induced,"quality>=acceptable(5), total_so2>=low(20)",46
"chlorides=low_salt, total_so2>=low(20)",free_so2>=low(6),data-induced,free_so2>=low(6),83
"chlorides=low_salt, total_so2>=medium(60)","free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20)",data-induced,"free_so2>=low(6), quality>=acceptable(5)",19
"chlorides=low_salt, total_so2>=high(100)","free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60)",data-induced,"free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5)",5
"chlorides=low_salt, pH<=acidic(3.1)","fixed_acidity>=low(6), free_so2>=low(6), total_so2>=low(20)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), total_so2>=low(20)",8
"chlorides=low_salt, sulphates>=high(0.8)","free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6)",data-induced,"free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry",12
"alcohol>=13, chlorides=low_salt","alcohol>=11, citric_acid_absent, density=light, free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"citric_acid_absent, density=light, free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3)",3
"chlorides=high_salt, free_so2>=high(30)","fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5), sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",3
"chlorides=high_salt, total_so2>=medium(60)","fixed_acidity>=low(6), free_so2>=low(6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), volatile_acidity>=low(0.3)",16
"chlorides=high_salt, total_so2>=high(100)","fixed_acidity>=low(6), free_so2>=low(6), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), volatile_acidity>=low(0.3)",9
"chlorides=high_salt, density=light","fixed_acidity>=low(6), quality>=acceptable(5)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5)",38
"chlorides=high_salt, pH<=acidic(3.1)","fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry",13
"chlorides=high_salt, pH>=basic(3.4)","fixed_acidity>=low(6), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), volatile_acidity>=low(0.3)",19
"alcohol>=11, chlorides=high_salt","fixed_acidity>=low(6), quality>=acceptable(5)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5)",23
"alcohol>=13, chlorides=high_salt","alcohol>=11, citric_acid_present, density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), pH=neutral_range, quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",data-induced,"citric_acid_present, density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), pH=neutral_range, quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",1
"chlorides=high_salt, quality>=good(7)","fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6)",11
"chlorides=high_salt, quality>=excellent(8)","alcohol>=11, alcohol>=13, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"free_so2>=low(6), sulphates>=high(0.8)","residual_sugar=dry, sulphates>=medium(0.6)",data-induced,residual_sugar=dry,23
"alcohol>=13, free_so2>=low(6)","alcohol>=11, chlorides=low_salt, citric_acid_absent, density=light, quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"chlorides=low_salt, citric_acid_absent, density=light, quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3)",3
"density=light, free_so2>=medium(15)","free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20)",data-induced,"quality>=acceptable(5), total_so2>=low(20)",48
"free_so2>=medium(15), pH<=acidic(3.1)","citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20)",data-induced,"citric_acid_present, fixed_acidity>=low(6), quality>=acceptable(5), total_so2>=low(20)",6
"free_so2>=medium(15), pH>=basic(3.4)","free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"quality>=acceptable(5), total_so2>=low(20), volatile_acidity>=low(0.3)",22
"free_so2>=medium(15), sulphates>=high(0.8)","free_so2>=low(6), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20)",data-induced,"residual_sugar=dry, total_so2>=low(20)",12
"alcohol>=11, free_so2>=medium(15)","free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20)",data-induced,"quality>=acceptable(5), total_so2>=low(20)",32
"alcohol>=13, free_so2>=medium(15)","alcohol>=11, chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"chlorides=low_salt, citric_acid_absent, density=light, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",2
"density=heavy, free_so2>=high(30)","fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5), total_so2>=low(20), volatile_acidity>=low(0.3)",4
"free_so2>=high(30), pH<=acidic(3.1)","alcohol>=11, chlorides=low_salt, citric_acid_present, density=light, fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60)",data-induced,"alcohol>=11, chlorides=low_salt, citric_acid_present, density=light, fixed_acidity>=low(6), quality>=acceptable(5), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60)",2
"free_so2>=high(30), pH>=basic(3.4)","fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3)",6
"free_so2>=high(30), sulphates>=high(0.8)","chlorides=low_salt, citric_acid_absent, density=light, fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=low_salt, citric_acid_absent, density=light, fixed_acidity>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",2
"alcohol>=13, free_so2>=high(30)","alcohol>=11, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"free_so2>=high(30), quality>=good(7)","chlorides=low_salt, citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=low(20)",data-induced,"chlorides=low_salt, citric_acid_present, fixed_acidity>=low(6), total_so2>=low(20)",3
"free_so2>=high(30), quality>=excellent(8)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"alcohol>=11, total_so2>=low(20)",free_so2>=low(6),data-induced,free_so2>=low(6),46
"alcohol>=13, total_so2>=low(20)","alcohol>=11, chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",data-induced,"chlorides=low_salt, citric_acid_absent, density=light, free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",3
"quality>=good(7), total_so2>=low(20)","free_so2>=low(6), quality>=acceptable(5)",data-induced,free_so2>=low(6),18
"density=light, total_so2>=medium(60)","free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20)",data-induced,"free_so2>=low(6), quality>=acceptable(5)",22
"density=heavy, total_so2>=medium(60)","fixed_acidity>=low(6), free_so2>=low(6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), volatile_acidity>=low(0.3)",13
"pH<=acidic(3.1), total_so2>=medium(60)","citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=high(100), total_so2>=low(20)",data-induced,"citric_acid_present, fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5)",3
"pH>=basic(3.4), total_so2>=medium(60)","free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",7
"sulphates>=high(0.8), total_so2>=medium(60)","free_so2>=low(6), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"free_so2>=low(6), residual_sugar=dry, volatile_acidity>=low(0.3)",4
"alcohol>=11, total_so2>=medium(60)","free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=low(20)",data-induced,"free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5)",11
